year,incremental_hl,spend,channel,revenue_per_hl,incremental_hl_per_spend,revenue_roi,efficiency_index_vs_localtv,roi_index_vs_localtv
2025,0.0,4711.546088212463,opentv,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,13864.98332103185,opentv,0.22804108256320194,0.0,0.0,0.0,0.0
2023,264457.0792536996,4073.446951295213,paytv,0.23446228536378655,64.92218566136268,15.221804020975148,4.784400493003514,4.784400493003514
2024,272743.37361277576,4562.769183168606,paytv,0.2285641537257815,59.77584284098493,13.662614932195035,4.264057016869828,4.2640570168698275
2025,197984.10769942353,2678.1531340707957,paytv,0.21836145493886003,73.92561134041185,16.14250404953702,2.7287399877423013,2.7287399877423013
Total,735184.5605658989,11314.369268534614,paytv,0.22804108256320194,64.9779535312194,14.817642866000702,3.9422331327534277,3.9422331327534277
2023,0.0,1.6120400133669015,print,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,26.829791513034337,print,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,37.56222124429987,print,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,66.00405277070111,print,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,1607.0703072107622,radio,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,1556.042313435728,radio,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,1406.5681413383247,radio,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,4569.680761984815,radio,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,0.0,tiktok,0.23446228536378655,,,,
2024,0.0,155.67612159195778,tiktok,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,705.3787955739061,tiktok,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,861.0549171658639,tiktok,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,0.0,twitter,0.23446228536378655,,,,
2024,0.0,6.331317746161155,twitter,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,49.73557099635278,twitter,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,56.06688874251394,twitter,0.22804108256320194,0.0,0.0,0.0,0.0
2023,905550.58969556,1270.8783050092866,youtube,0.23446228536378655,712.5391834342022,167.0635653592294,52.51013633904457,52.51013633904458
2024,488643.3121153678,588.2445663452316,youtube,0.2285641537257815,830.6805367558476,189.86379390007824,59.2558632916903,59.25586329169029
2025,521933.91681113106,618.6640870023106,youtube,0.21836145493886003,843.6467022679817,184.21992136160776,31.140662217927627,31.14066221792763
Total,1916127.818622059,2477.786958356829,youtube,0.22804108256320194,773.3222633041703,176.34924609410848,46.917707976580516,46.917707976580516
